,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,lift,drag,d(lift)_d(x_0),d(lift)_d(x_1),d(lift)_d(x_2),d(lift)_d(x_3),d(lift)_d(x_4),d(lift)_d(x_5),d(lift)_d(x_6),d(lift)_d(x_7),d(lift)_d(x_8),d(lift)_d(x_9),d(lift)_d(x_10),d(lift)_d(x_11),d(lift)_d(x_12),d(lift)_d(x_13),d(lift)_d(x_14),d(lift)_d(x_15),d(lift)_d(x_16),d(lift)_d(x_17),d(drag)_d(x_0),d(drag)_d(x_1),d(drag)_d(x_2),d(drag)_d(x_3),d(drag)_d(x_4),d(drag)_d(x_5),d(drag)_d(x_6),d(drag)_d(x_7),d(drag)_d(x_8),d(drag)_d(x_9),d(drag)_d(x_10),d(drag)_d(x_11),d(drag)_d(x_12),d(drag)_d(x_13),d(drag)_d(x_14),d(drag)_d(x_15),d(drag)_d(x_16),d(drag)_d(x_17)
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32694041949999997,0.021350118300000002,-0.0301132,-0.044275399999999986,-0.053679399999999995,-0.059123199999999994,-0.062295,-0.066104,-0.07444160000000001,-0.09038380000000001,-0.118374,0.0437625,0.0339146,0.0203269,0.0222048,0.048715100000000004,0.0945285,0.12550999999999998,0.09956160000000001,0.0935747,5.370050000000001e-05,-1.65613e-05,-0.0005271060000000001,-0.00145149,-0.00240187,-0.0029704,-0.00339209,-0.00420191,-0.005727899999999999,0.011303299999999999,0.0163239,0.0132895,0.0064638000000000004,0.000384669,-0.00247213,-0.00149899,0.00201076,0.00459691
2.0,-0.7514234317694086,-0.2401658571507103,0.5061324973792138,-0.6784990791979351,0.2882568779074441,0.576235346834181,0.2909986193269541,-0.8796999325572437,-0.7318238504754946,0.1025859044448699,-0.5222139490563139,0.15135617138565174,0.4740124207908997,-0.06974869995199623,-0.6630887399130007,0.9381625281365336,0.2473382065328385,0.9505160049865632,0.6822918875,0.0321105362,-0.0257413,-0.041225599999999994,-0.0565568,-0.072144,-0.0873276,-0.0999533,-0.10703499999999999,-0.110854,-0.13994099999999998,0.06681580000000001,0.06998109999999999,0.0489875,0.027916700000000003,0.0232227,0.0474411,0.124795,0.271598,0.206502,-0.000456404,-0.00113929,-0.00201237,-0.0029864,-0.0039946999999999995,-0.00492218,-0.00561839,-0.00618457,-0.00820856,0.013244100000000002,0.020428400000000003,0.0179162,0.010899399999999998,0.00433175,0.000670131,0.000895932,0.006190299999999999,0.009652980000000002
3.0,-0.293550073454324,0.5730061237681253,0.2166507675365756,-0.775181433950029,-0.7181870333600906,-0.3140963590096618,0.6252630759828617,0.8230044230036051,-0.17954196685795906,-0.48435543637288103,0.6004186326484111,0.6821543068429364,-0.6825206097077822,-0.7380810729067138,0.5570932424169941,0.9863286927435408,-0.36509195973189296,-0.4072716420981935,0.3667033657,0.0254945944,-0.00602752,-0.00498643,-0.0185805,-0.0402095,-0.056627199999999996,-0.06607840000000001,-0.0813836,-0.102433,-0.10325899999999999,0.047902699999999986,0.0420542,0.0265164,0.0195185,0.0296182,0.0576332,0.09615689999999999,0.10305999999999997,0.0773796,0.00504068,0.00649515,0.00360363,-0.0010807,-0.00397289,-0.00417629,-0.00394381,-0.00444289,-0.00480587,0.0129349,0.017925899999999998,0.0143588,0.006616840000000001,-4.2181499999999996e-05,-0.00306733,-0.0027275,0.000287056,0.00327682
4.0,0.7460518417344913,-0.8718477582194308,-0.8541867001270579,-0.7709040641932162,0.005540396822876874,0.09767319042102288,0.02922121519170068,0.7670417289388065,0.3610774874019472,0.999868240467228,-0.5186018058925242,0.20095345126002265,-0.2905895659787207,-0.028919719320223,-0.6572648724914282,0.7820501484809674,-0.2119188271464404,0.288852933916969,0.33945411840000006,0.027920724700000003,0.00478868,-0.0251539,-0.0494241,-0.057870500000000005,-0.06191900000000001,-0.07461219999999999,-0.100079,-0.133935,-0.151283,0.045863699999999986,0.042399500000000014,0.043336900000000005,0.0661051,0.110012,0.14961300000000002,0.14139300000000002,0.09602419999999999,0.113199,0.00444427,0.000825577,-0.00228356,-0.00303076,-0.00266393,-0.00269206,-0.00342827,-0.0044456800000000005,-0.00512633,0.0157344,0.0150433,0.007756499999999999,0.000245251,-0.00419531,-0.0047129,-0.00173763,0.00222889,0.00439484
5.0,0.04566665811013924,0.35685008756792863,-0.7796356203616527,-0.5523087599409536,0.3372629580124485,-0.036925812548260425,-0.4665796281080722,-0.11768966898385375,0.953329599096842,0.7959334325614403,0.3301440041053489,0.9243428416072544,-0.7426420123654192,-0.5947695311441278,-0.09083140836696688,-0.6822661828318233,0.7897129632304982,-0.7742002335154956,0.1476977209,0.0424456157,-0.0302742,-0.0438971,-0.0565117,-0.0635909,-0.0629181,-0.0610356,-0.0683904,-0.08602499999999999,-0.10405199999999999,0.00500018,-0.00418216,0.00806508,0.043945099999999994,0.08779930000000001,0.109152,0.08799739999999999,0.0626784,0.074757,0.0039147900000000005,0.0023460900000000003,-0.00160921,-0.00457048,-0.00490219,-0.0038779000000000005,-0.00352122,-0.00313353,-0.0007195530000000001,0.013730700000000002,0.0161805,0.0104465,0.00236757,-0.00283891,-0.00335734,-0.0007282419999999999,0.00193052,0.00326522
6.0,0.7150630838220288,0.5507410176292192,-0.05970739487786286,0.3019778334190695,-0.6271785571590011,0.9012057916070124,-0.7223645910222951,-0.9826896424443932,0.6257790945467601,0.31521305188568605,-0.9822263447524746,-0.08010067668720554,-0.06539490970207744,0.5639710026388642,-0.3121069514725912,-0.9055447529188752,-0.7517553193156162,0.8548910907852774,0.2141973129,0.017623718700000002,-0.0293385,-0.0367228,-0.0432532,-0.0532007,-0.0627194,-0.06276670000000001,-0.0548066,-0.06053040000000001,-0.0940818,0.026764,-0.00104592,-0.0106839,-0.00216042,0.0222537,0.056390399999999986,0.0752452,0.06664919999999999,0.0810461,0.00529862,0.00774675,0.00530652,-0.000410161,-0.00523757,-0.00584499,-0.00344481,-0.00242545,-0.00314712,0.0120681,0.0131215,0.00903654,0.00383769,-0.0005776409999999999,-0.0029057,-0.00195288,0.0010505999999999998,0.0035124
7.0,0.9196739070548734,0.7716601079338514,-0.965154875790442,-0.8963009957535524,-0.5222969923030085,-0.8212894305019699,0.6380009525405966,-0.6525717258103986,-0.6540133305302418,-0.5748958071356096,-0.9530506347827492,0.6174394025133226,0.15445997940876194,0.3373173410747721,0.8484153208894322,-0.9408577799356406,0.4749269181176193,0.5046464760872684,0.563291876,0.0411126954,0.00163473,-0.012958,-0.042306800000000006,-0.06474400000000001,-0.07135849999999999,-0.0730945,-0.082675,-0.09800960000000003,-0.12203499999999999,0.025710900000000005,0.0357584,0.0338535,0.0257008,0.0249482,0.062174099999999996,0.169787,0.273776,0.144848,0.00703735,0.00523712,-0.000256529,-0.00430609,-0.00489179,-0.00386695,-0.00351361,-0.00391295,-0.00492739,0.000587801,0.010229700000000001,0.0193401,0.0219837,0.016203799999999997,0.006478380000000001,3.20928e-05,0.000235637,0.004158510000000001
8.0,-0.8724768920803252,0.11308802175254185,0.17505343320338013,-0.6652368123812828,0.3664088465444122,-0.4780403991526828,0.906933783269786,-0.2431738666895501,-0.5591506909435839,0.7066029164311439,0.8338016510073876,-0.6767152299085871,-0.5855683983405989,0.254302423435677,-0.3680607005322252,0.010498753093737302,-0.0379563087673505,0.7440713655478094,0.47626537280000003,0.0438722505,-0.0270703,-0.0398639,-0.0502476,-0.05953340000000001,-0.0693454,-0.08116949999999999,-0.0943627,-0.104405,-0.120369,0.0284895,0.0180548,0.015804,0.0357052,0.08031499999999997,0.13706500000000002,0.16398900000000002,0.119526,0.111924,8.548190000000001e-05,-0.000498548,-0.00124681,-0.00205744,-0.00291969,-0.00385273,-0.00483155,-0.00569894,-0.00713023,0.0169834,0.0164268,0.008987199999999999,0.0015995,-0.00230504,-0.00240212,0.000294736,0.00380179,0.007013439999999999
9.0,0.6001662682902228,0.8228266454541935,0.7797452626572184,0.11216636051270126,-0.012285701199446674,0.10364575230706416,0.04174522267319218,-0.5263476513286945,0.18493899949263967,0.3648621208204216,0.8782467118334707,-0.7305960335990778,0.3886335161248175,-0.5754074348385932,-0.6167920560304263,-0.5453896987198661,-0.5114936576839331,0.23994941068397665,0.0938300294,0.05604406309999999,-0.0305655,-0.029620599999999997,-0.026282700000000003,-0.0345496,-0.05991900000000001,-0.0887955,-0.0914466,-0.072215,-0.0920282,0.010649,-0.00370082,0.0017716199999999996,0.031219599999999997,0.0728678,0.0994126,0.085342,0.0613105,0.08166639999999999,0.00849709,0.0150786,0.014931000000000003,0.00788092,-0.00175346,-0.00791716,-0.00710559,-0.0027094600000000003,-0.00185892,0.016608,0.018203200000000003,0.0108332,0.00150841,-0.00472736,-0.0060529500000000005,-0.00327405,5.904e-05,0.00154192
10.0,-0.300653704785292,0.5522062859723527,0.040593556261059836,-0.6281592541104071,-0.1976581781331456,0.7539407522188788,-0.03569846263566396,-0.4755787845343669,-0.3513780858675284,0.6003355102629815,0.548559095925389,0.7461691082476986,-0.8151507750168147,0.4737040531669845,-0.21952267016360547,-0.637166849655909,-0.09651513137943438,0.09944232544781256,0.32701395489999996,0.0488210614,-0.0292687,-0.0408398,-0.051288400000000005,-0.060358100000000005,-0.06584860000000001,-0.0683454,-0.07167749999999999,-0.07814650000000001,-0.10006799999999999,0.0181976,-0.0007218620000000001,-0.00989659,0.00441309,0.043798,0.0933505,0.11338599999999999,0.07860089999999999,0.0748216,0.00251304,0.0026376999999999998,0.000241604,-0.00297655,-0.0047560200000000006,-0.00467013,-0.0043806,-0.0048636600000000006,-0.0065683700000000005,0.0140223,0.017891999999999998,0.013209,0.00529496,-0.000664524,-0.00246886,-0.0007751679999999997,0.00217025,0.00467951
